ал;епымуло;омола;йыдийос мпс;омола мпс;йыдийос ппс;омола ппс;бахлос
SR000532;епымуло 0532;омола 0532;ICE1-1001;лахглатийг амакусг I;P1-1010;лахглатийг амакусг;10
SR000532;епымуло 0532;омола 0532;ICE1-1003;еисацыцг стгм епистглг тым упокоцистым;P1-1030;еисацыцг стгм епистглг тым упокоцистым;4.1
SR000532;епымуло 0532;омола 0532;ICE1-1005;диайяита лахглатийа;P1-1050;диайяита лахглатийа;7.5
SR000535;епымуло 0535;омола 0535;ICE1-1003;еисацыцг стгм епистглг тым упокоцистым;P1-1030;еисацыцг стгм епистглг тым упокоцистым;10
SR000536;епымуло 0536;омола 0536;ICE1-1001;лахглатийг амакусг I;P1-1010;лахглатийг амакусг;6.8
SR000536;епымуло 0536;омола 0536;ICE1-1003;еисацыцг стгм епистглг тым упокоцистым;P1-1030;еисацыцг стгм епистглг тым упокоцистым;6.1
SR000536;епымуло 0536;омола 0536;ICE1-1005;диайяита лахглатийа;P1-1050;диайяита лахглатийа;0.3
SR000536;епымуло 0536;омола 0536;ICE1-1006;жусийг;P1-1060;жусийг;3.4
SR000536;епымуло 0536;омола 0536;ICE1-2001;сведиасг йаи амакусг акцояихлым;P1-2050;сведиасг йаи амакусг акцояихлым;10
SR000536;епымуло 0536;омола 0536;ICE1-2002;пихамотгтес йаи статистийг;P1-2020;пихамотгтес йаи статистийг;7.5
SR000536;епымуло 0536;омола 0536;ICE1-3003;долес дедолемым;P1-2030;долес дедолемым;3.5
SR000538;епымуло 0538;омола 0538;ICE1-5004;тевмгтг моглосумг;P1-5030;тевмгтг моглосумг;0.3
SR000539;епымуло 0539;омола 0539;ICE1-1005;диайяита лахглатийа;P1-1050;диайяита лахглатийа;1.8
SR000539;епымуло 0539;омола 0539;ICE1-5003;амакусг йаи сведиаслос пкгяожояиайым сустглатым;P1-5020;амакусг йаи сведиаслос пкгяожояиайым сустглатым;7.5
SR000539;епымуло 0539;омола 0539;ICE1-7102;амайтгсг пкгяожояиас;P1-6120;амайтгсг пкгяожояиас;3.5
SR000539;епымуло 0539;омола 0539;ICE1-8101;аккгкепидяасг амхяыпоу-упокоцистг;P1-5120;аккгкепидяасг амхяыпоу-упокоцистг;8.6
SR000539;епымуло 0539;омола 0539;ICE1-7110;пкгяожояиайа сустглата диоийгсгс;P1-9170;пкгяожояиайа сустглата диоийгсгс;3.1
SR000540;епымуло 0540;омола 0540;ICE1-1001;лахглатийг амакусг I;P1-1010;лахглатийг амакусг;7.5
SR000540;епымуло 0540;омола 0540;ICE1-1002;цяаллийг акцебяа;P1-1020;цяаллийг акцебяа;7.5
SR000540;епымуло 0540;омола 0540;ICE1-1003;еисацыцг стгм епистглг тым упокоцистым;P1-1030;еисацыцг стгм епистглг тым упокоцистым;8.5
SR000540;епымуло 0540;омола 0540;ICE1-1005;диайяита лахглатийа;P1-1050;диайяита лахглатийа;7.5
SR000540;епымуло 0540;омола 0540;ICE1-2001;сведиасг йаи амакусг акцояихлым;P1-2050;сведиасг йаи амакусг акцояихлым;4.2
SR000540;епымуло 0540;омола 0540;ICE1-2006;хеыяиа йуйкылатым;P1-2060;хеыяиа йуйкылатым;7.5
SR000540;епымуло 0540;омола 0540;ICE1-3002;гкейтяомийг;P1-3020;гкейтяомийг;6.8
SR000540;епымуло 0540;омола 0540;ICE1-3003;долес дедолемым;P1-2030;долес дедолемым;10
SR000540;епымуло 0540;омола 0540;ICE1-5003;амакусг йаи сведиаслос пкгяожояиайым сустглатым;P1-5020;амакусг йаи сведиаслос пкгяожояиайым сустглатым;10
SR000542;епымуло 0542;омола 0542;ICE1-1005;диайяита лахглатийа;P1-1050;диайяита лахглатийа;0.3
SR000542;епымуло 0542;омола 0542;ICE1-1006;жусийг;P1-1060;жусийг;9
SR000542;епымуло 0542;омола 0542;ICE1-4005;сведиасг ьгжиайым сустглатым;P1-4050;сведиасг ьгжиайым сустглатым;8.6
SR000542;епымуло 0542;омола 0542;ICE1-5003;амакусг йаи сведиаслос пкгяожояиайым сустглатым;P1-5020;амакусг йаи сведиаслос пкгяожояиайым сустглатым;5.3
SR000542;епымуло 0542;омола 0542;ICE1-6001;тевмокоциа коцислийоу;P1-5010;тевмокоциа коцислийоу;4.3
SR000542;епымуло 0542;омола 0542;ICE1-8101;аккгкепидяасг амхяыпоу-упокоцистг;P1-5120;аккгкепидяасг амхяыпоу-упокоцистг;1.1
SR000542;епымуло 0542;омола 0542;ICE1-7110;пкгяожояиайа сустглата диоийгсгс;P1-9170;пкгяожояиайа сустглата диоийгсгс;3.4
SR000544;епымуло 0544;омола 0544;ICE1-1001;лахглатийг амакусг I;P1-1010;лахглатийг амакусг;10
SR000544;епымуло 0544;омола 0544;ICE1-1003;еисацыцг стгм епистглг тым упокоцистым;P1-1030;еисацыцг стгм епистглг тым упокоцистым;1.8
SR000544;епымуло 0544;омола 0544;ICE1-2001;сведиасг йаи амакусг акцояихлым;P1-2050;сведиасг йаи амакусг акцояихлым;1.8
SR000544;епымуло 0544;омола 0544;ICE1-2005;ьгжиайг сведиасг;P1-2010;ьгжиайг сведиасг;1.8
SR000546;епымуло 0546;омола 0546;ICE1-1003;еисацыцг стгм епистглг тым упокоцистым;P1-1030;еисацыцг стгм епистглг тым упокоцистым;10
SR000546;епымуло 0546;омола 0546;ICE1-3003;долес дедолемым;P1-2030;долес дедолемым;10
SR000548;епымуло 0548;омола 0548;ICE1-3002;гкейтяомийг;P1-3020;гкейтяомийг;7.5
SR000548;епымуло 0548;омола 0548;ICE1-3003;долес дедолемым;P1-2030;долес дедолемым;10
SR000548;епымуло 0548;омола 0548;ICE1-3004;дийтуа упокоцистым и;P1-3040;дийтуа упокоцистым и;5.6
SR000548;епымуло 0548;омола 0548;ICE1-3005;кеитоуяцийа сустглата и;P1-3050;кеитоуяцийа сустглата и;1.8
SR000549;епымуло 0549;омола 0549;ICE1-5002;дийтуайос пяоцяаллатислос;P1-5110;дийтуайос пяоцяаллатислос;0.3
SR000550;епымуло 0550;омола 0550;ICE1-1001;лахглатийг амакусг I;P1-1010;лахглатийг амакусг;7.5
SR000550;епымуло 0550;омола 0550;ICE1-1003;еисацыцг стгм епистглг тым упокоцистым;P1-1030;еисацыцг стгм епистглг тым упокоцистым;2.5
SR000550;епымуло 0550;омола 0550;ICE1-1005;диайяита лахглатийа;P1-1050;диайяита лахглатийа;10
SR000550;епымуло 0550;омола 0550;ICE1-2002;пихамотгтес йаи статистийг;P1-2020;пихамотгтес йаи статистийг;7.5
SR000550;епымуло 0550;омола 0550;ICE1-3003;долес дедолемым;P1-2030;долес дедолемым;10
SR000552;епымуло 0552;омола 0552;ICE1-2002;пихамотгтес йаи статистийг;P1-2020;пихамотгтес йаи статистийг;7.5
SR000552;епымуло 0552;омола 0552;ICE1-2005;ьгжиайг сведиасг;P1-2010;ьгжиайг сведиасг;7.5
SR000552;епымуло 0552;омола 0552;ICE1-4005;сведиасг ьгжиайым сустглатым;P1-4050;сведиасг ьгжиайым сустглатым;3.4
SR000553;епымуло 0553;омола 0553;ICE1-1002;цяаллийг акцебяа;P1-1020;цяаллийг акцебяа;0.3
SR000553;епымуло 0553;омола 0553;ICE1-1006;жусийг;P1-1060;жусийг;0.3
SR000553;епымуло 0553;омола 0553;ICE1-2001;сведиасг йаи амакусг акцояихлым;P1-2050;сведиасг йаи амакусг акцояихлым;10
SR000553;епымуло 0553;омола 0553;ICE1-2002;пихамотгтес йаи статистийг;P1-2020;пихамотгтес йаи статистийг;7.5
SR000553;епымуло 0553;омола 0553;ICE1-2005;ьгжиайг сведиасг;P1-2010;ьгжиайг сведиасг;3.4
SR000553;епымуло 0553;омола 0553;ICE1-2006;хеыяиа йуйкылатым;P1-2060;хеыяиа йуйкылатым;8.6
SR000555;епымуло 0555;омола 0555;ICE1-2006;хеыяиа йуйкылатым;P1-2060;хеыяиа йуйкылатым;0.3
SR000555;епымуло 0555;омола 0555;ICE1-4002;дийтуа упокоцистым ии;P1-4020;дийтуа упокоцистым ии;6.8
SR000555;епымуло 0555;омола 0555;ICE1-5003;амакусг йаи сведиаслос пкгяожояиайым сустглатым;P1-5020;амакусг йаи сведиаслос пкгяожояиайым сустглатым;7.6
SR000555;епымуло 0555;омола 0555;ICE1-7102;амайтгсг пкгяожояиас;P1-6120;амайтгсг пкгяожояиас;3.5
SR000555;епымуло 0555;омола 0555;ICE1-8101;аккгкепидяасг амхяыпоу-упокоцистг;P1-5120;аккгкепидяасг амхяыпоу-упокоцистг;4.3
SR000560;епымуло 0560;омола 0560;ICE1-5003;амакусг йаи сведиаслос пкгяожояиайым сустглатым;P1-5020;амакусг йаи сведиаслос пкгяожояиайым сустглатым;9.2
SR000561;епымуло 0561;омола 0561;ICE1-1003;еисацыцг стгм епистглг тым упокоцистым;P1-1030;еисацыцг стгм епистглг тым упокоцистым;2.5
SR000561;епымуло 0561;омола 0561;ICE1-2002;пихамотгтес йаи статистийг;P1-2020;пихамотгтес йаи статистийг;10
SR000561;епымуло 0561;омола 0561;ICE1-2005;ьгжиайг сведиасг;P1-2010;ьгжиайг сведиасг;6.8
SR000561;епымуло 0561;омола 0561;ICE1-3003;долес дедолемым;P1-2030;долес дедолемым;10
SR000563;епымуло 0563;омола 0563;ICE1-1001;лахглатийг амакусг I;P1-1010;лахглатийг амакусг;7.5
SR000563;епымуло 0563;омола 0563;ICE1-1005;диайяита лахглатийа;P1-1050;диайяита лахглатийа;7.5
SR000563;епымуло 0563;омола 0563;ICE1-1006;жусийг;P1-1060;жусийг;8.6
SR000563;епымуло 0563;омола 0563;ICE1-2001;сведиасг йаи амакусг акцояихлым;P1-2050;сведиасг йаи амакусг акцояихлым;0.3
SR000564;епымуло 0564;омола 0564;ICE1-1003;еисацыцг стгм епистглг тым упокоцистым;P1-1030;еисацыцг стгм епистглг тым упокоцистым;3.4
SR000564;епымуло 0564;омола 0564;ICE1-2001;сведиасг йаи амакусг акцояихлым;P1-2050;сведиасг йаи амакусг акцояихлым;4.2
SR000564;епымуло 0564;омола 0564;ICE1-2002;пихамотгтес йаи статистийг;P1-2020;пихамотгтес йаи статистийг;10
SR000564;епымуло 0564;омола 0564;ICE1-2006;хеыяиа йуйкылатым;P1-2060;хеыяиа йуйкылатым;7.5
SR000564;епымуло 0564;омола 0564;ICE1-3003;долес дедолемым;P1-2030;долес дедолемым;10
SR000564;епымуло 0564;омола 0564;ICE1-7101;сведиаслос йаи амаптунг пкгяожояиайым сустглатым;P1-6110;сведиаслос йаи амаптунг пкгяожояиайым сустглатым;2
SR000564;епымуло 0564;омола 0564;ICE1-7110;пкгяожояиайа сустглата диоийгсгс;P1-9170;пкгяожояиайа сустглата диоийгсгс;1.1
SR000565;епымуло 0565;омола 0565;ICE1-1001;лахглатийг амакусг I;P1-1010;лахглатийг амакусг;0.3
SR000565;епымуло 0565;омола 0565;ICE1-1003;еисацыцг стгм епистглг тым упокоцистым;P1-1030;еисацыцг стгм епистглг тым упокоцистым;3.5
SR000565;епымуло 0565;омола 0565;ICE1-3003;долес дедолемым;P1-2030;долес дедолемым;10
SR000566;епымуло 0566;омола 0566;ICE1-2001;сведиасг йаи амакусг акцояихлым;P1-2050;сведиасг йаи амакусг акцояихлым;7.5
SR000566;епымуло 0566;омола 0566;ICE1-2002;пихамотгтес йаи статистийг;P1-2020;пихамотгтес йаи статистийг;10
SR000566;епымуло 0566;омола 0566;ICE1-2005;ьгжиайг сведиасг;P1-2010;ьгжиайг сведиасг;0.3
SR000566;епымуло 0566;омола 0566;ICE1-3001;акцояихлои йаи покупкойотгта;P1-3010;акцояихлои йаи покупкойотгта;10
SR000566;епымуло 0566;омола 0566;ICE1-3004;дийтуа упокоцистым и;P1-3040;дийтуа упокоцистым и;7.8
SR000566;епымуло 0566;омола 0566;ICE1-5003;амакусг йаи сведиаслос пкгяожояиайым сустглатым;P1-5020;амакусг йаи сведиаслос пкгяожояиайым сустглатым;10
SR000568;епымуло 0568;омола 0568;ICE1-1002;цяаллийг акцебяа;P1-1020;цяаллийг акцебяа;10
SR000568;епымуло 0568;омола 0568;ICE1-1003;еисацыцг стгм епистглг тым упокоцистым;P1-1030;еисацыцг стгм епистглг тым упокоцистым;6.1
SR000568;епымуло 0568;омола 0568;ICE1-1005;диайяита лахглатийа;P1-1050;диайяита лахглатийа;7.5
SR000568;епымуло 0568;омола 0568;ICE1-2002;пихамотгтес йаи статистийг;P1-2020;пихамотгтес йаи статистийг;7.5
SR000568;епымуло 0568;омола 0568;ICE1-3003;долес дедолемым;P1-2030;долес дедолемым;10
SR000569;епымуло 0569;омола 0569;ICE1-1005;диайяита лахглатийа;P1-1050;диайяита лахглатийа;0.3
SR000569;епымуло 0569;омола 0569;ICE1-2002;пихамотгтес йаи статистийг;P1-2020;пихамотгтес йаи статистийг;10
SR000569;епымуло 0569;омола 0569;ICE1-6002;асжакеиа стгм тевмокоциа тгс пкгяожояиас;P1-6010;асжакеиа стгм тевмокоциа тгс пкгяожояиас;2
SR000570;епымуло 0570;омола 0570;ICE1-3001;акцояихлои йаи покупкойотгта;P1-3010;акцояихлои йаи покупкойотгта;10
SR000570;епымуло 0570;омола 0570;ICE1-3004;дийтуа упокоцистым и;P1-3040;дийтуа упокоцистым и;9.6
SR000570;епымуло 0570;омола 0570;ICE1-5003;амакусг йаи сведиаслос пкгяожояиайым сустглатым;P1-5020;амакусг йаи сведиаслос пкгяожояиайым сустглатым;4.7
SR000570;епымуло 0570;омола 0570;ICE1-5004;тевмгтг моглосумг;P1-5030;тевмгтг моглосумг;0.3
SR000570;епымуло 0570;омола 0570;ICE1-5006;еисацыцг стом паяаккгко упокоцисло;P1-5040;еисацыцг стом паяаккгко упокоцисло;3.6
SR000570;епымуло 0570;омола 0570;ICE1-6002;асжакеиа стгм тевмокоциа тгс пкгяожояиас;P1-6010;асжакеиа стгм тевмокоциа тгс пкгяожояиас;4.9
SR000576;епымуло 0576;омола 0576;ICE1-1001;лахглатийг амакусг I;P1-1010;лахглатийг амакусг;10
SR000576;епымуло 0576;омола 0576;ICE1-2002;пихамотгтес йаи статистийг;P1-2020;пихамотгтес йаи статистийг;8.6
SR000576;епымуло 0576;омола 0576;ICE1-2005;ьгжиайг сведиасг;P1-2010;ьгжиайг сведиасг;1.8
SR000576;епымуло 0576;омола 0576;ICE1-3004;дийтуа упокоцистым и;P1-3040;дийтуа упокоцистым и;4.3
SR000576;епымуло 0576;омола 0576;ICE1-3005;кеитоуяцийа сустглата и;P1-3050;кеитоуяцийа сустглата и;3.4
SR000578;епымуло 0578;омола 0578;ICE1-1001;лахглатийг амакусг I;P1-1010;лахглатийг амакусг;10
SR000578;епымуло 0578;омола 0578;ICE1-1006;жусийг;P1-1060;жусийг;10
SR000578;епымуло 0578;омола 0578;ICE1-2006;хеыяиа йуйкылатым;P1-2060;хеыяиа йуйкылатым;3.5
SR000578;епымуло 0578;омола 0578;ICE1-3001;акцояихлои йаи покупкойотгта;P1-3010;акцояихлои йаи покупкойотгта;10
SR000578;епымуло 0578;омола 0578;ICE1-3002;гкейтяомийг;P1-3020;гкейтяомийг;10
SR000584;епымуло 0584;омола 0584;ICE1-5003;амакусг йаи сведиаслос пкгяожояиайым сустглатым;P1-5020;амакусг йаи сведиаслос пкгяожояиайым сустглатым;10
SR000587;епымуло 0587;омола 0587;ICE1-1003;еисацыцг стгм епистглг тым упокоцистым;P1-1030;еисацыцг стгм епистглг тым упокоцистым;10
SR000589;епымуло 0589;омола 0589;ICE1-3001;акцояихлои йаи покупкойотгта;P1-3010;акцояихлои йаи покупкойотгта;10
SR000589;епымуло 0589;омола 0589;ICE1-4004;леходокоциес амаптунгс ежаялоцым;P1-4040;леходокоциес амаптунгс ежаялоцым;1.1
SR000589;епымуло 0589;омола 0589;ICE1-5006;еисацыцг стом паяаккгко упокоцисло;P1-5040;еисацыцг стом паяаккгко упокоцисло;3.4
SR000589;епымуло 0589;омола 0589;ICE1-6001;тевмокоциа коцислийоу;P1-5010;тевмокоциа коцислийоу;6.8
SR000589;епымуло 0589;омола 0589;ICE1-6003;летацкыттистес;P1-6020;летацкыттистес;10
SR000591;епымуло 0591;омола 0591;ICE1-2005;ьгжиайг сведиасг;P1-2010;ьгжиайг сведиасг;7.5
SR000591;епымуло 0591;омола 0591;ICE1-3004;дийтуа упокоцистым и;P1-3040;дийтуа упокоцистым и;7.5
SR000591;епымуло 0591;омола 0591;ICE1-3005;кеитоуяцийа сустглата и;P1-3050;кеитоуяцийа сустглата и;3.5
SR000592;епымуло 0592;омола 0592;ICE1-3002;гкейтяомийг;P1-3020;гкейтяомийг;0.3
SR000592;епымуло 0592;омола 0592;ICE1-5004;тевмгтг моглосумг;P1-5030;тевмгтг моглосумг;4.6
SR000592;епымуло 0592;омола 0592;ICE1-5006;еисацыцг стом паяаккгко упокоцисло;P1-5040;еисацыцг стом паяаккгко упокоцисло;3.4
SR000592;епымуло 0592;омола 0592;ICE1-6006;ьгжиайес епийоимымиес;P1-5320;ьгжиайес епийоимымиес;4.2
SR000598;епымуло 0598;омола 0598;ICE1-1003;еисацыцг стгм епистглг тым упокоцистым;P1-1030;еисацыцг стгм епистглг тым упокоцистым;7.5
SR000598;епымуло 0598;омола 0598;ICE1-3003;долес дедолемым;P1-2030;долес дедолемым;10
SR000598;епымуло 0598;омола 0598;ICE1-3004;дийтуа упокоцистым и;P1-3040;дийтуа упокоцистым и;10
SR000598;епымуло 0598;омола 0598;ICE1-5004;тевмгтг моглосумг;P1-5030;тевмгтг моглосумг;10
SR000598;епымуло 0598;омола 0598;ICE1-6002;асжакеиа стгм тевмокоциа тгс пкгяожояиас;P1-6010;асжакеиа стгм тевмокоциа тгс пкгяожояиас;7.4
SR000598;епымуло 0598;омола 0598;ICE1-6003;летацкыттистес;P1-6020;летацкыттистес;9.7
SR000599;епымуло 0599;омола 0599;ICE1-3003;долес дедолемым;P1-2030;долес дедолемым;10
SR000599;епымуло 0599;омола 0599;ICE1-3004;дийтуа упокоцистым и;P1-3040;дийтуа упокоцистым и;3.7
SR000601;епымуло 0601;омола 0601;ICE1-4002;дийтуа упокоцистым ии;P1-4020;дийтуа упокоцистым ии;8.6
SR000602;епымуло 0602;омола 0602;ICE1-4002;дийтуа упокоцистым ии;P1-4020;дийтуа упокоцистым ии;6.8
SR000602;епымуло 0602;омола 0602;ICE1-5003;амакусг йаи сведиаслос пкгяожояиайым сустглатым;P1-5020;амакусг йаи сведиаслос пкгяожояиайым сустглатым;5.3
SR000605;епымуло 0605;омола 0605;ICE1-1002;цяаллийг акцебяа;P1-1020;цяаллийг акцебяа;8.6
SR000605;епымуло 0605;омола 0605;ICE1-1005;диайяита лахглатийа;P1-1050;диайяита лахглатийа;8.6
SR000605;епымуло 0605;омола 0605;ICE1-2002;пихамотгтес йаи статистийг;P1-2020;пихамотгтес йаи статистийг;7.5
SR000605;епымуло 0605;омола 0605;ICE1-3004;дийтуа упокоцистым и;P1-3040;дийтуа упокоцистым и;8.1
SR000605;епымуло 0605;омола 0605;ICE1-4002;дийтуа упокоцистым ии;P1-4020;дийтуа упокоцистым ии;6.8
SR000605;епымуло 0605;омола 0605;ICE1-5003;амакусг йаи сведиаслос пкгяожояиайым сустглатым;P1-5020;амакусг йаи сведиаслос пкгяожояиайым сустглатым;2.9
SR000606;епымуло 0606;омола 0606;ICE1-1001;лахглатийг амакусг I;P1-1010;лахглатийг амакусг;0.3
SR000606;епымуло 0606;омола 0606;ICE1-1003;еисацыцг стгм епистглг тым упокоцистым;P1-1030;еисацыцг стгм епистглг тым упокоцистым;7.5
SR000606;епымуло 0606;омола 0606;ICE1-1005;диайяита лахглатийа;P1-1050;диайяита лахглатийа;1.8
SR000606;епымуло 0606;омола 0606;ICE1-1006;жусийг;P1-1060;жусийг;3.5
SR000606;епымуло 0606;омола 0606;ICE1-2001;сведиасг йаи амакусг акцояихлым;P1-2050;сведиасг йаи амакусг акцояихлым;10
SR000606;епымуло 0606;омола 0606;ICE1-2005;ьгжиайг сведиасг;P1-2010;ьгжиайг сведиасг;3.5
SR000606;епымуло 0606;омола 0606;ICE1-2006;хеыяиа йуйкылатым;P1-2060;хеыяиа йуйкылатым;7.5
SR000606;епымуло 0606;омола 0606;ICE1-3003;долес дедолемым;P1-2030;долес дедолемым;10
SR000607;епымуло 0607;омола 0607;ICE1-1002;цяаллийг акцебяа;P1-1020;цяаллийг акцебяа;7.5
SR000607;епымуло 0607;омола 0607;ICE1-2001;сведиасг йаи амакусг акцояихлым;P1-2050;сведиасг йаи амакусг акцояихлым;0.3
SR000607;епымуло 0607;омола 0607;ICE1-3003;долес дедолемым;P1-2030;долес дедолемым;10
SR000609;епымуло 0609;омола 0609;ICE1-7102;амайтгсг пкгяожояиас;P1-6120;амайтгсг пкгяожояиас;7.5
SR000610;епымуло 0610;омола 0610;ICE1-1001;лахглатийг амакусг I;P1-1010;лахглатийг амакусг;10
SR000610;епымуло 0610;омола 0610;ICE1-1002;цяаллийг акцебяа;P1-1020;цяаллийг акцебяа;7.5
SR000610;епымуло 0610;омола 0610;ICE1-1003;еисацыцг стгм епистглг тым упокоцистым;P1-1030;еисацыцг стгм епистглг тым упокоцистым;1.1
SR000610;епымуло 0610;омола 0610;ICE1-1006;жусийг;P1-1060;жусийг;10
SR000610;епымуло 0610;омола 0610;ICE1-2001;сведиасг йаи амакусг акцояихлым;P1-2050;сведиасг йаи амакусг акцояихлым;10
SR000610;епымуло 0610;омола 0610;ICE1-2005;ьгжиайг сведиасг;P1-2010;ьгжиайг сведиасг;3.5
SR000610;епымуло 0610;омола 0610;ICE1-2006;хеыяиа йуйкылатым;P1-2060;хеыяиа йуйкылатым;1.8
SR000610;епымуло 0610;омола 0610;ICE1-3003;долес дедолемым;P1-2030;долес дедолемым;10
SR000612;епымуло 0612;омола 0612;ICE1-1003;еисацыцг стгм епистглг тым упокоцистым;P1-1030;еисацыцг стгм епистглг тым упокоцистым;4.1
SR000612;епымуло 0612;омола 0612;ICE1-1005;диайяита лахглатийа;P1-1050;диайяита лахглатийа;7.5
SR000612;епымуло 0612;омола 0612;ICE1-3001;акцояихлои йаи покупкойотгта;P1-3010;акцояихлои йаи покупкойотгта;10
SR000612;епымуло 0612;омола 0612;ICE1-3002;гкейтяомийг;P1-3020;гкейтяомийг;1.4
SR000612;епымуло 0612;омола 0612;ICE1-3004;дийтуа упокоцистым и;P1-3040;дийтуа упокоцистым и;7.5
SR000612;епымуло 0612;омола 0612;ICE1-3005;кеитоуяцийа сустглата и;P1-3050;кеитоуяцийа сустглата и;0.3
SR000612;епымуло 0612;омола 0612;ICE1-3006;аявитейтомийг упокоцистым;P1-3060;аявитейтомийг упокоцистым;7.5
SR000612;епымуло 0612;омола 0612;ICE1-4002;дийтуа упокоцистым ии;P1-4020;дийтуа упокоцистым ии;0.3
SR000612;епымуло 0612;омола 0612;ICE1-4003;кеитоуяцийа сустглата ии;P1-4030;кеитоуяцийа сустглата ии;0.3
SR000612;епымуло 0612;омола 0612;ICE1-4005;сведиасг ьгжиайым сустглатым;P1-4050;сведиасг ьгжиайым сустглатым;1.1
SR000613;епымуло 0613;омола 0613;ICE1-1001;лахглатийг амакусг I;P1-1010;лахглатийг амакусг;8.6
SR000613;епымуло 0613;омола 0613;ICE1-2002;пихамотгтес йаи статистийг;P1-2020;пихамотгтес йаи статистийг;10
SR000613;епымуло 0613;омола 0613;ICE1-4002;дийтуа упокоцистым ии;P1-4020;дийтуа упокоцистым ии;7.5
SR000614;епымуло 0614;омола 0614;ICE1-1005;диайяита лахглатийа;P1-1050;диайяита лахглатийа;0.3
SR000614;епымуло 0614;омола 0614;ICE1-3001;акцояихлои йаи покупкойотгта;P1-3010;акцояихлои йаи покупкойотгта;3.5
SR000614;епымуло 0614;омола 0614;ICE1-3004;дийтуа упокоцистым и;P1-3040;дийтуа упокоцистым и;8.6
SR000614;епымуло 0614;омола 0614;ICE1-4002;дийтуа упокоцистым ии;P1-4020;дийтуа упокоцистым ии;8.6
SR000615;епымуло 0615;омола 0615;ICE1-1001;лахглатийг амакусг I;P1-1010;лахглатийг амакусг;0.3
SR000615;епымуло 0615;омола 0615;ICE1-2002;пихамотгтес йаи статистийг;P1-2020;пихамотгтес йаи статистийг;10
SR000615;епымуло 0615;омола 0615;ICE1-2006;хеыяиа йуйкылатым;P1-2060;хеыяиа йуйкылатым;6.8
SR000615;епымуло 0615;омола 0615;ICE1-3001;акцояихлои йаи покупкойотгта;P1-3010;акцояихлои йаи покупкойотгта;7.5
SR000615;епымуло 0615;омола 0615;ICE1-3003;долес дедолемым;P1-2030;долес дедолемым;3.5
SR000615;епымуло 0615;омола 0615;ICE1-3004;дийтуа упокоцистым и;P1-3040;дийтуа упокоцистым и;0.3
SR000615;епымуло 0615;омола 0615;ICE1-3005;кеитоуяцийа сустглата и;P1-3050;кеитоуяцийа сустглата и;3.5
SR000617;епымуло 0617;омола 0617;ICE1-4004;леходокоциес амаптунгс ежаялоцым;P1-4040;леходокоциес амаптунгс ежаялоцым;0.4
SR000618;епымуло 0618;омола 0618;ICE1-4002;дийтуа упокоцистым ии;P1-4020;дийтуа упокоцистым ии;3.4
SR000619;епымуло 0619;омола 0619;ICE1-1001;лахглатийг амакусг I;P1-1010;лахглатийг амакусг;10
SR000619;епымуло 0619;омола 0619;ICE1-1002;цяаллийг акцебяа;P1-1020;цяаллийг акцебяа;7.5
SR000619;епымуло 0619;омола 0619;ICE1-1005;диайяита лахглатийа;P1-1050;диайяита лахглатийа;0.3
SR000619;епымуло 0619;омола 0619;ICE1-1006;жусийг;P1-1060;жусийг;7.5
SR000619;епымуло 0619;омола 0619;ICE1-2001;сведиасг йаи амакусг акцояихлым;P1-2050;сведиасг йаи амакусг акцояихлым;10
SR000621;епымуло 0621;омола 0621;ICE1-2006;хеыяиа йуйкылатым;P1-2060;хеыяиа йуйкылатым;1.8
SR000621;епымуло 0621;омола 0621;ICE1-3004;дийтуа упокоцистым и;P1-3040;дийтуа упокоцистым и;7.5
SR000621;епымуло 0621;омола 0621;ICE1-3005;кеитоуяцийа сустглата и;P1-3050;кеитоуяцийа сустглата и;3.4
SR000621;епымуло 0621;омола 0621;ICE1-4002;дийтуа упокоцистым ии;P1-4020;дийтуа упокоцистым ии;7.5
SR000621;епымуло 0621;омола 0621;ICE1-4003;кеитоуяцийа сустглата ии;P1-4030;кеитоуяцийа сустглата ии;7.5
SR000621;епымуло 0621;омола 0621;ICE1-5001;басеис дедолемым ии;P1-4010;басеис дедолемым ии;8.6
SR000623;епымуло 0623;омола 0623;ICE1-1005;диайяита лахглатийа;P1-1050;диайяита лахглатийа;7.5
SR000623;епымуло 0623;омола 0623;ICE1-2006;хеыяиа йуйкылатым;P1-2060;хеыяиа йуйкылатым;0.3
SR000623;епымуло 0623;омола 0623;ICE1-3001;акцояихлои йаи покупкойотгта;P1-3010;акцояихлои йаи покупкойотгта;3.5
SR000623;епымуло 0623;омола 0623;ICE1-3003;долес дедолемым;P1-2030;долес дедолемым;8.6
SR000623;епымуло 0623;омола 0623;ICE1-3004;дийтуа упокоцистым и;P1-3040;дийтуа упокоцистым и;1.8
SR000623;епымуло 0623;омола 0623;ICE1-3005;кеитоуяцийа сустглата и;P1-3050;кеитоуяцийа сустглата и;8.6
SR000623;епымуло 0623;омола 0623;ICE1-3006;аявитейтомийг упокоцистым;P1-3060;аявитейтомийг упокоцистым;0.3
SR000623;епымуло 0623;омола 0623;ICE1-4004;леходокоциес амаптунгс ежаялоцым;P1-4040;леходокоциес амаптунгс ежаялоцым;7.5
SR000623;епымуло 0623;омола 0623;ICE1-5003;амакусг йаи сведиаслос пкгяожояиайым сустглатым;P1-5020;амакусг йаи сведиаслос пкгяожояиайым сустглатым;4.2
